,event_id,date,year,month,latitude,longitude,depth,mag_type,magnitude,state,time,potential_blast,bix_potential_blasts
0,usp000gyu4,2009-07-01,2009,7,39.644,-75.483,5000,md,2.8,New Jersey,13:44:43.380000,0,0
1,usp000gyxs,2009-07-04,2009,7,37.379,-80.746,11500,mblg,2.8,West Virginia,12:24:43.460000,0,0
2,usp000gz1d,2009-07-08,2009,7,45.296,-73.475,18000,md,2.1,Quebec,10:22:11.430000,0,0
3,usp000h1sz,2009-09-23,2009,9,42.825,-78.239,5000,md,2.4,New York,03:45:59.900000,0,0
4,usp000hab0,2010-04-04,2010,4,38.619,-80.909,100,mblg,3.4,West Virginia,09:19:14,0,0
5,usp000hgny,2010-07-24,2010,7,38.675,-80.82,2300,md,2.4,West Virginia,09:15:44,0,0
6,usp000hj7k,2010-08-15,2010,8,38.818,-80.43,17000,md,2.5,West Virginia,04:38:47,0,0
7,usp000hjhz,2010-08-21,2010,8,38.792,-80.398,10700,md,2.5,West Virginia,03:16:22,0,0
8,usp000hng7,2010-10-24,2010,10,39.433,-81.362,5000,mblg,2.8,Ohio,08:12:44.510000,0,0
9,usp000hqs4,2010-12-10,2010,12,41.514,-80.333,5000,mblg,2.7,Pennsylvania,21:26:32.790000,0,0
10,usp000hrxd,2010-12-25,2010,12,40.859,-74.179,2000,md,2.1,New Jersey,18:32:31,0,0
11,usp000hxng,2011-03-17,2011,3,41.11,-80.68,5000,mblg,2.6,Ohio,10:53:09.510000,0,0
12,usp000hz5p,2011-04-02,2011,4,44.964,-74.588,17000,md,2.4,New York,23:10:13,0,0
13,usp000j15a,2011-05-07,2011,5,44.673,-73.841,10000,ml,2.6,New York,06:45:10.800000,0,0
14,usp000j1a5,2011-05-10,2011,5,40.011,-74.796,5000,ml,1.9,New Jersey,08:19:59.270000,0,0
15,usp000j7b5,2011-08-31,2011,8,39.51,-81.47,5000,mblg,3.1,Ohio,17:36:02.670000,0,0
16,usp000j7kq,2011-09-04,2011,9,39.422,-81.205,5000,mblg,2.6,Ohio,13:21:59.290000,0,0
17,usp000j8js,2011-09-26,2011,9,41.115,-80.682,5000,mblg,2.5,Ohio,01:06:10.840000,0,0
18,usp000jryp,2012-09-08,2012,9,41.035,-73.543,4300,ml,2.1,New York,00:58:27.170000,0,0
19,usp000jsc2,2012-09-15,2012,9,39.509,-77.19,6000,ml,2.2,West Virginia,09:51:16.660000,0,0
20,usp000jthp,2012-10-04,2012,10,45.132,-74.147,18000,mblg,3.0,Quebec,18:27:47.490000,0,0
21,usp000jucw,2012-10-24,2012,10,45.219,-74.362,18000,mblg,2.6,Quebec,08:20:15.230000,0,0
22,usp000juf3,2012-10-26,2012,10,43.356,-78.634,5000,ml,2.5,New York,04:34:58.460000,0,0
23,usp000jv24,2012-11-05,2012,11,41.075,-74.222,5000,ml,2.0,New Jersey,06:19:11,0,0
24,ld60024003,2013-02-19,2013,2,41.238,-77.0555,10800,Ml,2.3,Pennsylvania,09:53:05.200000,0,0
25,ld60024103,2013-02-20,2013,2,45.0995,-74.207,4900,Ml,2.0,Quebec,09:39:05.800000,0,0
26,ld60038401,2013-02-26,2013,2,44.895,-74.5235,12500,Ml,2.0,New York,10:31:36,0,0
27,ld60024403,2013-03-07,2013,3,42.592,-74.1458,15400,Ml,2.2,New York,23:12:07.100000,0,0
