event_id,magnitude,mag_type,depth
usp00000z6,4.5,mb,6.0
usp00003hd,4.2,mb,5.0
usp00005ac,4.5,mb,24.0
usp00005ae,3.6,lg,1.0
usp00005af,3.6,lg,1.0
usp00005ag,3.8,mb,1.0
usp00005ah,2.8,lg,1.0
usp00005ar,1.6,lg,1.0
usp00005au,1.8,lg,1.0
usp00005av,2.3,lg,1.0
usp00005vr,2.6,lg,1.0
nm600012,1.6,mlg,5.0
nm600022,2.1,mlg,5.0
nm600042,3.6,mlg,5.0
nm600043,2.3,mlg,5.0
nm600066,2.3,mlg,5.0
usp00008xh,3.9,mb,5.0
usp000093w,3.4,lg,5.0
nm600123,2.8,mlg,5.0
usp000094v,2.6,ml,10.0
nm600130,1.3,mlg,5.0
nm600136,1.9,mlg,5.0
usp00009c8,2.9,lg,25.0
usp00009fb,3.2,lg,0.0
nm600193,1.8,mlg,5.0
nm600241,1.8,mlg,5.0
usp0000c8u,4.8,mb,5.0
nm600256,2.7,mlg,5.0
nm600257,2.1,mlg,5.0
nm600258,2.8,mlg,5.0
nm600262,1.5,mlg,5.0
nm600264,1.2,mlg,5.0
usp0000csk,3.4,lg,5.0
nm600272,2.2,mlg,5.0
usp0000d4a,3.2,lg,20.0
usp0000dsb,3.5,lg,5.0
nm600348,1.7,mlg,5.0
usp0000egm,3.2,lg,14.0
usp0000ejc,3.5,md,1.0
usp0000emy,2.8,md,1.0
usp0000eqk,3.9,md,2.0
usp0000fq3,2.7,lg,5.0
nm600385,2.1,mlg,5.0
nm600386,1.4,mlg,5.0
nm600407,1.8,mlg,5.0
usp0000h1c,3.5,ml,5.0
nm600476,2.2,mlg,15.0
usp0000kqd,4.2,mb,0.0
nm600560,1.9,mlg,13.6
usp0000nmx,3.3,ml,4.0
nm600569,2.2,mlg,5.0
usp0000p4q,4.3,mb,10.0
usp0000p6x,4.0,ml,5.0
nm600588,2.3,mlg,5.0
nm600601,2.3,mlg,5.0
nm600615,2.3,mlg,10.0
nm600633,2.4,mlg,5.0
nm600635,3.1,mlg,5.0
usp0000rua,3.5,ml,5.0
usp0000t6r,3.5,ml,11.0
nm600690,1.8,mlg,5.0
nm600698,1.3,mlg,10.0
nm600717,1.7,mlg,3.6
nm600730,1.8,mlg,10.0
usp0000uzg,2.9,ml,20.0
usp0000v35,4.4,mb,10.0
