api_number,operator,operator_id,well_type,well_name,well_number,order_number,approval_date,month,year,location,Sec,latitude,longitude,psi,barrels_fluid,zone
3500300026.0,PHOENIX PETROCORP INC,19499,2R,SE EUREKA UNIT-TUCKER #1,21,133856.0,1977-09-06,9,1977,ALFALFA,13,36.900324,-98.21826,"2,500",300,CHEROKEE
3500300163.0,CHAMPLIN EXPLORATION INC,4030,2R,CHRISTENSEN,1,470258.0,2002-11-27,11,2002,ALFALFA,21,36.896636,-98.17772,"2,400","1,000",RED FORK
3500320786.0,LINN OPERATING INC,22182,2R,NE CHEROKEE UNIT,85,329426.0,1988-08-19,8,1988,ALFALFA,24,36.806113,-98.32584,"1,050","1,000",RED FORK
3500321074.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,VELMA,2-19,281652.0,1985-07-11,7,1985,ALFALFA,19,36.888589,-98.31853,"3,152","1,000",RED FORK
3500321107.0,CHAMPLIN EXPLORATION INC,4030,2R,GRAY,1A,470257.0,2002-11-27,11,2002,ALFALFA,20,36.892128,-98.19462,"1,000","2,400",RED FORK
3500321242.0,PARADIGM PETROLEUM CORPORATION,22867,2R,NORTH CARMEN RED FORK UNIT,8,405305.0,1996-09-17,9,1996,ALFALFA,3,36.591824,-98.46356,750,"2,000",RED FORK
3500321328.0,PRIDE ENERGY COMPANY,19430,2D,LESLIE,A-1,1006450004.0,2010-05-06,5,2010,ALFALFA,5,36.674104,-98.51565,"1,280","2,000",PERMIAN
3500321342.0,ZEIDERS BROS OIL & GAS CO LLC,22680,2D,USF&G FELLERS,1A-36,348157.0,1990-06-25,6,1990,ALFALFA,36,36.857775,-98.32979,0,"1,000",MISSISSIPPI
3500321364.0,MARJO OPERATING MID-CONTINENT LLC,23610,2R,BURCHFIEL,15-3,433693.0,1999-07-14,7,1999,ALFALFA,15,36.819572,-98.14953,"1,500","1,800",MISENER
3500321404.0,PARADIGM PETROLEUM CORPORATION,22867,2R,NORTH CARMEN RED FORK UNIT,1,423456.0,1998-05-27,5,1998,ALFALFA,34,36.59666,-98.48296,"3,500",750,RED FORK (CHEROKEE)
3500321455.0,KIESTER OPERATING COMPANY,6999,2R,MEANS 'C',1,521622.0,2006-03-13,3,2006,ALFALFA,24,36.626608,-98.43679,500,"1,200",RED FORK
3500321496.0,KIESTER OPERATING COMPANY,6999,2R,LSB MCCRADY 4,4,521370.0,2006-03-08,3,2006,ALFALFA,18,36.645656,-98.42664,500,"1,200",RED FORK
3500321537.0,C & D SUPPLY,18385,2D,REITZ,1,383569.0,1994-05-23,5,1994,ALFALFA,10,36.835111,-98.36245,"1,000",300,MISSISSIPPI
3500321553.0,UNIT PETROLEUM COMPANY,16711,2R,DORTHY,1,385383.0,1994-08-10,8,1994,ALFALFA,17,36.825141,-98.29881,"1,250","4,500",MISENER
3500321561.0,UNIT PETROLEUM COMPANY,16711,2R,MIKE UT#38449,1-8,385384.0,1994-08-10,8,1994,ALFALFA,8,36.82786,-98.29486,"1,250","4,500",MISENER
3500321647.0,SANDRIDGE EXPLORATION & PRODUCTION LLC,22281,2R,TULLIS,2-26,429951.0,1999-02-02,2,1999,ALFALFA,26,36.871368,-98.35402,"2,500","1,500",RED FORK
3500321748.0,SAND CREEK OPERATING LLC,23210,CDW,KRAFT,1,1401960007.0,2013-11-06,11,2013,ALFALFA,13,36.901215,-98.446798,500,"20,000",ARBUCKLE
