operator_id,operator,county,section
19499,PHOENIX PETROCORP INC,ALFALFA,13
4030,CHAMPLIN EXPLORATION INC,ALFALFA,21
22182,LINN OPERATING INC,ALFALFA,24
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,19
4030,CHAMPLIN EXPLORATION INC,ALFALFA,20
22867,PARADIGM PETROLEUM CORPORATION,ALFALFA,3
19430,PRIDE ENERGY COMPANY,ALFALFA,5
22680,ZEIDERS BROS OIL & GAS CO LLC,ALFALFA,36
23610,MARJO OPERATING MID-CONTINENT LLC,ALFALFA,15
22867,PARADIGM PETROLEUM CORPORATION,ALFALFA,34
6999,KIESTER OPERATING COMPANY,ALFALFA,24
6999,KIESTER OPERATING COMPANY,ALFALFA,18
18385,C & D SUPPLY,ALFALFA,10
16711,UNIT PETROLEUM COMPANY,ALFALFA,17
16711,UNIT PETROLEUM COMPANY,ALFALFA,8
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,26
23210,SAND CREEK OPERATING LLC,ALFALFA,13
22182,LINN OPERATING INC,ALFALFA,21
21475,NEILSON INC,ALFALFA,30
20266,ATCHLEY RESOURCES INC,ALFALFA,32
23079,MIDSTATES PETROLEUM COMPANY LLC,ALFALFA,28
17441,CHESAPEAKE OPERATING LLC,ALFALFA,2
23079,MIDSTATES PETROLEUM COMPANY LLC,ALFALFA,30
23079,MIDSTATES PETROLEUM COMPANY LLC,ALFALFA,29
17441,CHESAPEAKE OPERATING LLC,ALFALFA,32
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,27
17441,CHESAPEAKE OPERATING LLC,ALFALFA,14
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,35
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,27
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,32
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,23
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,1
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,1
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,34
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,22
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,3
17441,CHESAPEAKE OPERATING LLC,ALFALFA,25
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,13
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,20
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,7
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,30
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,22
17441,CHESAPEAKE OPERATING LLC,ALFALFA,14
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,13
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,31
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,1
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,22
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,23
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,12
17441,CHESAPEAKE OPERATING LLC,ALFALFA,14
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,22
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,14
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,27
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,27
10399,TRIAD ENERGY INC,ALFALFA,6
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,21
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,12
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,3
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,36
12075,UNION VALLEY PETROLEUM CORP,ALFALFA,22
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,3
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,34
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,27
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,20
17441,CHESAPEAKE OPERATING LLC,ALFALFA,24
23413,EAGLE EXPLORATION PRODUCTION LLC,ALFALFA,10
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,25
17441,CHESAPEAKE OPERATING LLC,ALFALFA,11
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,21
16896,CHAPARRAL ENERGY LLC,ALFALFA,1
17441,CHESAPEAKE OPERATING LLC,ALFALFA,16
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,6
17713,D & J OIL COMPANY INC,ALFALFA,34
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,9
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,33
17441,CHESAPEAKE OPERATING LLC,ALFALFA,33
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,26
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,3
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,25
23079,MIDSTATES PETROLEUM COMPANY LLC,ALFALFA,10
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,20
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,27
17441,CHESAPEAKE OPERATING LLC,ALFALFA,7
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,26
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,5
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,19
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,5
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,6
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,9
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,5
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,11
17441,CHESAPEAKE OPERATING LLC,ALFALFA,7
17441,CHESAPEAKE OPERATING LLC,ALFALFA,36
23072,ARP OKLAHOMA LLC,ALFALFA,10
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,5
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,28
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,25
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,11
23413,EAGLE EXPLORATION PRODUCTION LLC,ALFALFA,10
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,7
17342,AEXCO PETROLEUM INC,ALFALFA,18
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,17
17441,CHESAPEAKE OPERATING LLC,ALFALFA,30
23079,MIDSTATES PETROLEUM COMPANY LLC,ALFALFA,17
17342,AEXCO PETROLEUM INC,ALFALFA,15
17342,AEXCO PETROLEUM INC,ALFALFA,29
23079,MIDSTATES PETROLEUM COMPANY LLC,ALFALFA,28
23079,MIDSTATES PETROLEUM COMPANY LLC,ALFALFA,15
4185,SANNER JERRY OIL PROPERTIES INC,ALFALFA,21
22182,LINN OPERATING INC,ALFALFA,20
22182,LINN OPERATING INC,ALFALFA,21
22182,LINN OPERATING INC,ALFALFA,24
22182,LINN OPERATING INC,ALFALFA,25
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,19
22281,SANDRIDGE EXPLORATION & PRODUCTION LLC,ALFALFA,20
21008,ARVINE ENVIRONMENTAL LLC,ALFALFA,14
23562,BRAVO ARKOMA,ATOKA,31
16711,UNIT PETROLEUM COMPANY,BEAVER,4
18105,TEX-OK ENERGY LP,BEAVER,23
19732,SNYDER PARTNERS,BEAVER,15
22247,ENTERPRISE PRODUCTS OPERATING LLC,BEAVER,18
22247,ENTERPRISE PRODUCTS OPERATING LLC,BEAVER,18
16711,UNIT PETROLEUM COMPANY,BEAVER,1
16711,UNIT PETROLEUM COMPANY,BEAVER,14
16896,CHAPARRAL ENERGY LLC,BEAVER,31
