order_number,well_number,approval_date,year
133856.0,21,1977-09-06,1977
470258.0,1,2002-11-27,2002
329426.0,85,1988-08-19,1988
281652.0,2-19,1985-07-11,1985
470257.0,1A,2002-11-27,2002
405305.0,8,1996-09-17,1996
1006450004.0,A-1,2010-05-06,2010
348157.0,1A-36,1990-06-25,1990
433693.0,15-3,1999-07-14,1999
423456.0,1,1998-05-27,1998
521622.0,1,2006-03-13,2006
521370.0,4,2006-03-08,2006
383569.0,1,1994-05-23,1994
385383.0,1,1994-08-10,1994
385384.0,1-8,1994-08-10,1994
429951.0,2-26,1999-02-02,1999
1401960007.0,1,2013-11-06,2013
1007540008.0,16A,2010-07-08,2010
540384.0,2,2007-06-08,2007
1204110191.0,2-32,2012-04-02,2012
527050.0,1,2006-07-13,2006
536661.0,1-2,2007-03-13,2007
1609310123.0,13,2016-07-06,2016
1609310122.0,1,2016-07-06,2016
556249.0,1-32,2008-07-03,2008
1102650003.0,1-27,2010-11-15,2010
1607050002.0,1-14,2016-04-18,2016
1103600047.0,1-35,2011-01-13,2011
1102650002.0,1-27,2010-11-18,2010
1102310016.0,1-32,2010-11-17,2010
1103390003.0,1-23,2011-03-21,2011
1103390002.0,1-1,2010-12-21,2010
1103700007.0,2-1,2011-03-24,2011
1103930063.0,1-34,2011-02-07,2011
1104340184.0,1-22,2011-03-10,2011
1104340183.0,1-3,2011-02-25,2011
1105070125.0,1-25,2011-04-04,2011
1104920073.0,1-13,2011-03-14,2011
1104920074.0,1-20,2011-03-25,2011
1105200172.0,1-7,2011-03-23,2011
1105200171.0,1-30,2011-04-25,2011
1106760087.0,1-22,2011-05-23,2011
1501400030.0,1,2014-10-15,2014
1107040025.0,1-13,2011-07-21,2011
1200530049.0,1-31,2011-09-09,2011
1200530050.0,1-1,2011-10-10,2011
1201350098.0,1-22,2011-11-02,2011
1202040019.0,2-23,2011-11-02,2011
1202380140.0,1-12,2011-11-09,2011
1703190017.0,1,2016-12-02,2016
1202610136.0,2-22,2011-12-02,2011
1202750065.0,1-14,2011-12-15,2011
1608700032.0,1-27,2016-07-13,2016
1203000025.0,2-27,2011-12-29,2011
1202430030.0,1-6,2011-12-07,2011
1203700057.0,1-21,2012-04-26,2012
1203700052.0,2-12,2012-02-02,2012
1203950057.0,2-3,2012-05-07,2012
1204560024.0,2-36,2012-03-21,2012
1706400022.0,1-22,2017-04-14,2017
1204930046.0,1-3,2012-06-18,2012
1205760006.0,2-34,2012-04-20,2012
1205760007.0,2-27,2012-05-07,2012
1206950034.0,2-20,2012-06-18,2012
1207420116.0,1,2012-08-28,2012
1206780080.0,1 SWD,2012-08-07,2012
1207900010.0,1-25,2012-10-19,2012
1207840023.0,1,2012-09-08,2012
1207900012.0,2-21,2012-07-10,2012
1302580029.0,1,2012-11-09,2012
1300030055.0,1,2012-11-09,2012
1300460052.0,1-6,2012-08-22,2012
1303920175.0,1-34 SWD,2013-02-20,2013
1301390064.0,1-9,2012-10-29,2012
1301650032.0,1-33,2012-10-10,2012
1702030040.0,1,2016-10-04,2016
1302360125.0,1-26,2012-11-09,2012
