well_number,latitude,longitude,zone
21,36.900324,-98.21826,CHEROKEE
1,36.896636,-98.17772,RED FORK
85,36.806113,-98.32584,RED FORK
2-19,36.888589,-98.31853,RED FORK
1A,36.892128,-98.19462,RED FORK
8,36.591824,-98.46356,RED FORK
A-1,36.674104,-98.51565,PERMIAN
1A-36,36.857775,-98.32979,MISSISSIPPI
15-3,36.819572,-98.14953,MISENER
1,36.59666,-98.48296,RED FORK (CHEROKEE)
1,36.626608,-98.43679,RED FORK
4,36.645656,-98.42664,RED FORK
1,36.835111,-98.36245,MISSISSIPPI
1,36.825141,-98.29881,MISENER
1-8,36.82786,-98.29486,MISENER
2-26,36.871368,-98.35402,RED FORK
1,36.901215,-98.446798,ARBUCKLE
16A,36.802928,-98.28472,PENN BASAL CHEROKEE
2,36.787367,-98.53594,TONKAWA
2-32,36.864566,-98.30107,COTTAGE GROVE
1,36.621781,-98.172853,"1ST AND 2ND WILCOX, ARBUCKLE"
1-2,36.592329,-98.13752,ARBUCKLE
13,36.6999999,-98.52748,HUNTON
1,36.703106,-98.51959,HUNTON
1-32,36.693246,-98.184626,ARBUCKLE
1-27,36.969509,-98.259103,ARBUCKLE
1-14,36.638051,-98.451166,SIMPSON
1-35,36.94258,-98.47106,ARBUCKLE
1-27,36.957094,-98.147748,ARBUCKLE
1-32,36.9562,-98.2006,ARBUCKLE
1-23,36.9849,-98.1344,ARBUCKLE
1-1,36.92792,-98.11822,ARBUCKLE
2-1,36.9281,-98.1181,ARBUCKLE-PLUGGED OFF
1-34,36.95625,-98.37841,ARBUCKLE
1-22,36.984541,-98.364877,ARBUCKLE
1-3,36.928442,-98.256115,ARBUCKLE
1-25,36.9706918,-98.2357193,ARBUCKLE
1-13,36.986482,-98.3286487,ARBUCKLE
1-20,36.972,-98.2009,ARBUCKLE
1-7,36.927167,-98.532828,ARBUCKLE
1-30,36.9576,-98.3157,ARBUCKLE
1-22,36.9789,-98.008,ARBUCKLE
1,36.91245,-98.45291,"ARBUCKLE, GRANITE WASH, REAGAN"
1-13,36.5506,-98.2171,ARBUCKLE
1-31,36.50687,-98.3036,ARBUCKLE
1-1,36.9322,-98.2179,ARBUCKLE
1-22,36.9852,-98.2628,ARBUCKLE
2-23,36.9849,-98.1333,ARBUCKLE
1-12,36.92142,-98.32489,ARBUCKLE
1,36.728888,-98.467545,SIMPSON
2-22,36.98483,-98.262853,ARBUCKLE
1-14,36.8989,-98.1313,ARBUCKLE
1-27,36.78392,-98.36732,"COTTAGE GROVE, TONKAWA "
2-27,36.9588,-98.2575,ARBUCKLE
1-6,36.9417,-98.3088,ARBUCKLE
1-21,36.895,-98.1643,ARBUCKLE
2-12,36.9219,-98.3248,ARBUCKLE
2-3,36.928439,-98.2566285,ARBUCKLE
2-36,36.8684329,-98.2312016,ARBUCKLE
1-22,36.7974504,-98.1532071,LAYTON
1-3,36.9280637,-98.1622758,ARBUCKLE
2-34,36.9562376,-98.3773226,ARBUCKLE
2-27,36.7837893,-98.3670395,ARBUCKLE
2-20,36.9719144,-98.2000157,ARBUCKLE
1,36.5478299,-98.319515,ARBUCKLE DOLOMITE
1 SWD,36.8401458,-98.8401458,ARBUCKLE
1-25,36.8837588,-98.3266665,ARBUCKLE
1,36.8399518,-98.4666519,ARBUCKLE DOLOMITE
2-21,36.8853283,-98.2722998,ARBUCKLE
1,36.7673874,-98.4463585,ARBUCKLE
1,36.8124774,-98.4864893,ARBUCKLE
1-6,36.8413903,-98.2158393,ARBUCKLE
1-34 SWD,36.7814052,-98.1612485,ARBUCKLE
1-9,36.913631,-98.2829343,ARBUCKLE
1-33,36.7690164,-98.3788771,ARBUCKLE
1,36.8555153,-98.1794753,SIMPSON
1-26,36.8790867,-98.2358521,ARBUCKLE
1-3,36.7667933,-98.1479517,ARBUCKLE
1-25,36.6092638,-98.3385222,ARBUCKLE
1-10,36.7399965,-98.4847045,ARBUCKLE
1-20,36.8949285,-98.2899088,ARBUCKLE
1-27,36.87102,-98.3716437,ARBUCKLE
1,36.6526632,-98.3231877,ARBUCKLE
2-26,36.8786747,-98.2358504,ARBUCKLE
1-5,36.854296,-98.289946,ARBUCKLE
1-19,36.536313,-98.4181788,ARBUCKLE
1-5,36.766755,-98.2987757,ARBUCKLE
2-6,36.8418023,-98.2158375,ARBUCKLE
1-9,36.7457035,-98.3790357,ARBUCKLE
2-5H,36.76725,-98.29698,MISSISSIPPIAN
1-11,36.9141087,-98.3525466,ARBUCKLE
1,36.7397608,-98.3152036,ARBUCKLE
1,36.7819226,-98.4488245,SIMPSON
1,36.652153,-98.1547806,ARBUCKLE
2-5,36.853908,-98.289931,ARBUCKLE
1-28,36.7092722,-98.2804739,ARBUCKLE
2-25,36.6092641,-98.3390333,ARBUCKLE
2-11,36.9141027,-98.3530596,ARBUCKLE
2 SWD,36.840195,-98.361295,ARBUCKLE
1-7,36.83986,-98.308036,ARBUCKLE
1-18,36.6380465,-98.4309985,WILCOX
1-17,36.812401,-98.294993,ARBUCKLE
1,36.853908,-98.289931,ARBUCKLE
1-17 SWD,36.65206,-98.51692,"HUNTON, WILCOX"
#1-16,35.6382,-98.3777,"COTTAGE GROVE, TONKAWA "
#1-29,36.622579,-98.40477,"COTTAGE GROVE, TONKAWA "
1-28 SWD,36.609239,-9.49068,"ENDICOTT, TONKAWA, COTTAGE GROVE, OSWEGO, HUNTON, WILCOX"
1-15 SWD,36.5638461,-98.4689228,"ENDICOTT, HUNTON, OSWEGO, WILCOX"
1,36.537332,-98.3834131,TONKAWA
19,36.8023677,-98.300208,RED FORK
14,36.8023476,-98.2776623,"BASAL, PENN"
3,36.8062315,-98.33487,RED FORK
66,36.7916487,-98.325971,RED FORK
1-19,36.8858932,-98.313087,"RED FORK, TONKAWA"
1-20,36.8931545,-98.3001101,RED FORK
2,36.5555305,-98.3385963,OSWEGO
1,34.594442,-96.0912777,"BROMIDE, MCLISH, OIL CREEK"
1 SWD,36.5855502,-100.7942108,BROWN DOLOMITE
1,36.5345234,-100.2278954,WOLFCAMP
1,36.9886088,-100.6635834,KANSAS CITY
2,36.8995726,-100.393791,CIMARRON SALT
1,36.9004716,-100.3945737,CIMARRON SALT
1 SWD,36.5819531,-100.8609096,BROWN DOLOMITE
1,36.5528927,-100.6638879,WOLFCAMPIAN
3114,36.5085485,-100.9363812,MORROW
3262,36.5025248,-100.9269313,MORROW 
3533,36.5082772,-100.8795151,MORROW 
3233,36.5128056,-100.926921,MORROW 
3472,36.5061793,-100.8870754,MORROW 
3 SWD,36.5303018,-100.9144688,WOLFCAMP
D-2A,36.9955861,-100.4290538,"COUNCIL GROVE, LANSING"
6,36.9410946,-100.4116534,CHASE
8-3,36.5566091,-100.9336701,MORROW
3,36.8084862,-100.4376187,"KANSAS CITY, LANSING "
1,36.8999183,-100.3934151,"CHASE, COUNCIL GROVE"
1,36.8374937,-100.0077251,BROWN DOLOMITE
3252,36.5047752,-100.9334954,MORROW 
2962,36.5167121,-100.9331608,MORROW
1SWD,36.5900519,-100.5013954,BROWN DOLOMITE
2,36.6171955,-100.84409,WOLFCAMP
1-30,36.953901,-100.2840214,"KANSAS CITY, LANSING "
2762,36.5157846,-100.8915326,MORROW
1,36.6180755,-100.538467,BROWN DOLOMITE
2,36.7591579,-100.543632,MARMATON
1 SWD,36.5310851,-100.7716831,BROWN DOLOMITE
1-7,36.8307227,-100.1952205,COUNCIL GROVE
359-2,36.7557737,-100.83512,CHESTER
1,36.6062356,-100.5428957,MORROW
2974,36.5202934,-100.920096,MORROW 
1 SWD,36.9568579,-100.4956698,COUNCIL GROVE
1SWD,36.5769378,-100.9231247,BROWN DOLOMITE
1,36.5164259,-100.2514377,DOLOMITE
15-4,36.5430241,-100.9426999,MORROW 
3213,36.5103619,-100.9230397,MORROW
1,36.5545964,-100.4438132,WOLFCAMP
2-16,36.5536653,-100.5907966,BROWN DOLOMITE
2-1,36.5090717,-100.5423953,MORROW
5-1,36.5016408,-100.542341,MORROW
1-8 SW,36.741515,-100.708344,BROWN DOLOMITE
A-3,36.5308784,-100.3722376,BROWN DOLOMITE
D-12,36.9964385,-100.4427139,LANSING
3-23,36.9748264,-100.7582336,KANSAS CITY
16-1,36.7731764,-100.7392766,CHESTER
2,36.6153375,-100.5642881,MORROW
11-1,36.7704938,-100.7302881,CHESTER
1-24,36.542033,-100.7402387,WOLFCAMP
2-1,36.7595658,-100.7459944,CHESTER
8-1,36.7695511,-100.7460248,CHESTER
19-1,36.7732266,-100.7228438,CHESTER
13-1,36.7696011,-100.7227982,CHESTER
1-3,36.7487487,-100.7437509,CHESTER
6-2,36.7414081,-100.7517134,CHESTER
1-26,36.8660638,-100.6543177,"CHASE, COUNCIL GROVE"
2-2,36.5854928,-100.7617893,BROWN DOLOMITE
1-35,36.9393515,-100.2186307,CHASE
1-2,36.7590287,-100.2341113,CHECKERBOARD
2-35,36.7654386,-100.231361,"CHASE, COUNCIL GROVE"
4-1,36.5801258,-100.6971694,COUNCIL GROVE
11-2,36.5026208,-100.5173711,MORROW
1-36,36.6762885,-100.3120521,COUNCIL GROVE
8-5,36.7427468,-100.7470409,CHESTER
D-14,36.9990739,-100.4381591,LANSING
