well_number,well_type,well_name,operator_id
21,2R,SE EUREKA UNIT-TUCKER #1,19499
1,2R,CHRISTENSEN,4030
85,2R,NE CHEROKEE UNIT,22182
2-19,2R,VELMA,22281
1A,2R,GRAY,4030
8,2R,NORTH CARMEN RED FORK UNIT,22867
A-1,2D,LESLIE,19430
1A-36,2D,USF&G FELLERS,22680
15-3,2R,BURCHFIEL,23610
1,2R,NORTH CARMEN RED FORK UNIT,22867
1,2R,MEANS 'C',6999
4,2R,LSB MCCRADY 4,6999
1,2D,REITZ,18385
1,2R,DORTHY,16711
1-8,2R,MIKE UT#38449,16711
2-26,2R,TULLIS,22281
1,CDW,KRAFT,23210
16A,2R,NECU,22182
2,CDW,BETTY JO,21475
2-32,2D,MILAN,20266
1,2D,ALFALFA,23079
1-2,2D,HDW,17441
13,2D,SE BRADLEY A UNIT M,23079
1,2D,LEAMON,23079
1-32,2D,GIDEON,17441
1-27,2D,LILY SWD,22281
1-14,2D,DUTCH HARBOR SWD,17441
1-35,2D,BAILAR SWD,22281
1-27,2D,RISITA SWD,22281
1-32,2D,DORADO SWD,22281
1-23,2D,FIERO SWD,22281
1-1,2D,TIBURON SWD,22281
2-1,2D,TIBURON SWD,22281
1-34,2D,GATILLO SWD,22281
1-22,2D,AQUARIUS SWD,22281
1-3,2D,ROSE KELLY SWD,22281
1-25,2D,AMAZON SWD,17441
1-13,2D,CLAUDE SWD,22281
1-20,2D,BETTY ELLEN SWD,22281
1-7,2D,CALLIE SWD,22281
1-30,2D,ROXY SWD,22281
1-22,2D,ALLISON SWD,22281
1,2D,NILE 14-28-12 SWD,17441
1-13,2D,OWEN SWD,22281
1-31,2D,CARA SWD,22281
1-1,2D,BAILEY SWD,22281
1-22,2D,SHARON SWD,22281
2-23,2D,FIERO SWD,22281
1-12,2D,JUDY SWD,22281
1,2D,MISSISSIPPI 14-26-12 SWD,17441
2-22,2D,SHARON SWD,22281
1-14,2D,ROBYN SWD,22281
1-27,2D,PRESLEY SWD,22281
2-27,2D,DOTTY SWD,22281
1-6,2D,WILLIAMS SWD,10399
1-21,2D,CRICKET SWD,22281
2-12,2D,JUDY SWD,22281
2-3,2D,ROSE KELLY SWD,22281
2-36,2D,ASHLEY SWD,22281
1-22,CDW,BONNIE JEAN SWD,12075
1-3,2D,SIDNEY SWD,22281
2-34,2D,GATILLO SWD,22281
2-27,2D,PRESLEY SWD,22281
2-20,2D,BETTY ELLEN SWD 2909,22281
1,2D,TIGRIS 24-24-11 SWD,17441
1 SWD,CDW,REITZ,23413
1-25,2D,GRISWOLD SWD 2811,22281
1,2D,EUPHRATES 11-27-12 SWD,17441
2-21,2D,POPPINS SWD 2810,22281
1,2D,WESSEL SWD,16896
1,2D,RIO GRANDE 16-27-12 SWD,17441
1-6,2D,DUSTIN SWD 2709,22281
1-34 SWD,2D,MYERS,17713
1-9,2D,MILLIE SWD 2810,22281
1-33,2D,LIZZIE SWD 2711,22281
1,2D,THAMES 33-28-9 SWD,17441
1-26,2D,ROSE SWD 2810,22281
1-3,2D,LAUREN SWD 2609,22281
1-25,2D,MARLEY SWD 2511,22281
1-10,2D,MURROW SWD,23079
1-20,2D,BAKER SWD 2810,22281
1-27,2D,CLARK W SWD 2811,22281
1,2D,CLAY 7-25-10 SWD,17441
2-26,2D,ROSE SWD 2810,22281
1-5,2D,DIAMONDBACK SWD 2710,22281
1-19,2D,COTTONWOOD SWD 2411,22281
1-5,2D,FIONA SWD 2610,22281
2-6,2D,DUSTIN SWD 2709,22281
1-9,2D,MIGUEL SWD 2611,22281
2-5H,2R,CROWDER 2610,22281
1-11,2D,PHIN SWD 2811,22281
1,2D,PULLER 7-26-10 SWD,17441
1,2D,COLUMBIA 36-27-12 SWD ,17441
1,2D,JACKDAW SWD WELL,23072
2-5,2D,DIAMONBACK SWD 2710,22281
1-28,2D,MILA SWD 2610,22281
2-25,2D,MARLEY SWD 2511,22281
2-11,2D,PHIN SWD 2811,22281
2 SWD,CDW,REITZ,23413
1-7,2D,LIDIA SWD 2710,22281
1-18,2D,MCDANIEL SWD,17342
1-17,2D,TATUM ROSE SWD 2710,22281
1,2D,YELLOW 30-27-10 SWD ,17441
1-17 SWD,2D,KELTNER 2512,23079
#1-16,2D,BARNYARD SWD,17342
#1-29,2D,KEPHART SWD ,17342
1-28 SWD,2D,BAKER 2512,23079
1-15 SWD,2D,GREGORY 2412,23079
1,2D,KATHERINE M FRECH,4185
19,2R,NE CHEROKEE UNIT,22182
14,2R,NE CHEROKEE UNIT,22182
3,2R,NE CHEROKEE UNIT,22182
66,2R,NE CHEROKEE UNIT,22182
1-19,2R,COBBETT-HEIRS,22281
1-20,2R,CORYELL,22281
2,2D,NELSON,21008
1,2D,CAIRO SWD,23562
1 SWD,2D,CARTER HAYWOOD,16711
1,2D,BOURQUIN,18105
1,CDW,HUNTER,19732
2,GS,MOCANE PLANT  LPG,22247
1,2R,MOCANE PLANT-LPG,22247
1 SWD,2D,FLOYD KEARNS,16711
1,2D,SAUNDERS SWD,16711
3114,2R,CAMRICK,16896
3262,2R,CAMRICK UNIT,16896
3533,2R,CAMRICK UNIT,16896
3233,2R,CAMRICK UNIT,16896
3472,2D,CAMRICK UNIT,16896
3 SWD,2D,CAMRICK UNIT,16896
D-2A,2D,"ADAMS, R.E.",22756
6,2D,ADAMS C,19848
8-3,2R,NW CAMRICK UNIT,16896
3,CDW,"MILES ""K""",23555
1,2D,E.E.EVANS,22247
1,CDW,BEAVER,17717
3252,2R,CAMRICK UNIT,16896
2962,2R,CAMRICK UNIT,16896
1SWD,2D,OLLIE DEAN,16711
2,CDW,ANNA BRYAN,22383
1-30,2D,MEYERS,5481
2762,2R,CAMRICK UNIT,16896
1,2D,PUGH SWD,16711
2,2R,BENJEGERDES,19732
1 SWD,2D,OLLENBERGER,16711
1-7,2D,DYER,19792
359-2,2R,STICKLER                    24,16896
1,2R,HELEN 6,2057
2974,2R,CAMRICK UNIT,16896
1 SWD,CDW,NICHOLS,13447
1SWD,2D,HOOVER,16711
1,2D,HOWARD,16411
15-4,2R,NW CAMRICK UNIT,16896
3213,2R,CAMRICK UNIT,16896
1,2D,LOWREY SWD,16711
2-16,2D,GEORGIA CUSTER SWD,16711
2-1,2R,S ELMWOOD UNIT   (CATES 1-35),7697
5-1,2R,S ELMWOOD UNIT   (WEBER 2-35),7697
1-8 SW,2D,CS,16711
A-3,2D,MEHNERT,1701
D-12,2R,ADAMS RANCH,22756
3-23,2D,HEITSCHMIDT,5064
